Country,Certified,Total
ARGENTINA,404,450
AUSTRALIA,651,681
BANGLADESH,402,421
BELARUS,220,231
BRAZIL,1045,1112
BULGARIA,205,221
CANADA,4810,5052
CHILE,160,173
CHINA,11019,11500
COLOMBIA,556,624
ECUADOR,178,232
EGYPT,349,367
FRANCE,1233,1295
GERMANY,731,772
GREECE,172,180
HONG_KONG,227,232
INDIA,82470,85236
INDONESIA,302,322
IRAN,753,780
IRELAND,332,350
ISRAEL,675,707
ITALY,662,696
JAMAICA,154,192
JAPAN,939,1015
JORDAN,182,191
LEBANON,176,192
MALAYSIA,367,386
MEXICO,2603,2971
NEPAL,1167,1221
NETHERLANDS,172,183
NEW_ZEALAND,157,167
NIGERIA,377,399
PAKISTAN,1201,1297
PERU,226,258
PHILIPPINES,2116,2409
POLAND,460,528
ROMANIA,293,316
RUSSIA,926,963
SINGAPORE,282,288
SOUTH_AFRICA,257,279
SOUTH_KOREA,7632,8387
SPAIN,486,513
SRI_LANKA,234,246
SWEDEN,174,184
SYRIA,158,167
TAIWAN,1401,1491
THAILAND,288,334
TURKEY,879,916
UKRAINE,601,627
UNITED_KINGDOM,1624,1746
UNITED_STATES_OF_AMERICA,211,253
VENEZUELA,843,933
VIETNAM,971,1108
